Country/Code,Country/DisplayName/EN,Country/DisplayName/TH,Country/DisplayName/ZH,Province/Code,Province/DisplayName/EN,Province/DisplayName/TH,Province/DisplayName/ZH,District/Code,District/DisplayName/EN,District/DisplayName/TH,District/DisplayName/ZH,Subdistrict/Code,Subdistrict/DisplayName/EN,Subdistrict/DisplayName/TH,Subdistrict/DisplayName/ZH,PostalCode/Code,PostalCode/DisplayName/EN,PostalCode/DisplayName/TH,PostalCode/DisplayName/ZH
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1008,Pom Prap Sattruphai,ป้อมปราบศัตรูพ่าย,,TH-100801,Pom Prap,ป้อมปราบ,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1008,Pom Prap Sattruphai,ป้อมปราบศัตรูพ่าย,,TH-100802,Wat Thepsirin,วัดเทพศิรินทร์,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1008,Pom Prap Sattruphai,ป้อมปราบศัตรูพ่าย,,TH-100803,Klongmahanak,คลองมหานาค,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1008,Pom Prap Sattruphai,ป้อมปราบศัตรูพ่าย,,TH-100804,Ban Bat,บ้านบาตร,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1008,Pom Prap Sattruphai,ป้อมปราบศัตรูพ่าย,,TH-100805,Wat Sommanat,วัดโสมนัส,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1013,Samphanthawong,สัมพันธวงศ์,,TH-101301,Chakkrawat,จักรวรรดิ,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1013,Samphanthawong,สัมพันธวงศ์,,TH-101302,Samphanthawong,สัมพันธวงศ์,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1013,Samphanthawong,สัมพันธวงศ์,,TH-101303,Talat Noi,ตลาดน้อย,,10100,10100,10100,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1033,Khlong Toei,คลองเตย,,TH-103301,Khlong Toei,คลองเตย,,10110,10110,10110,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1033,Khlong Toei,คลองเตย,,TH-103302,Khlong Ton,คลองตัน,,10110,10110,10110,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1033,Khlong Toei,คลองเตย,,TH-103303,Phra Khanong,พระโขนง,,10110,10110,10110,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1039,Watthana,วัฒนา,,TH-103901,Khlong Toei Nuea,คลองเตยเหนือ,,10110,10110,10110,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1039,Watthana,วัฒนา,,TH-103902,Khlong Tan Nuea,คลองตันเหนือ,,10110,10110,10110,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1039,Watthana,วัฒนา,,TH-103903,Phra Khanong Nuea,พระโขนงเหนือ,,10110,10110,10110,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1012,Yannawa,ยานนาวา,,TH-101203,Chong Nonsi,ช่องนนทรี,,10120,10120,10120,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1012,Yannawa,ยานนาวา,,TH-101204,ang Phong Phang,บางโพงพาง,,10120,10120,10120,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1028,Sa Thon,สาทร,,TH-102801,Thung Wat Don,ทุ่งวัดดอน,,10120,10120,10120,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1028,Sa Thon,สาทร,,TH-102802,Yan Nawa,ยานนาวา,,10120,10120,10120,
THA,Thailand,ไทย,,TH-10,Bangkok,กรุงเทพมหานคร,,TH-1028,Sa Thon,สาทร,,TH-102803,Thung Maha Mek,ทุ่งมหาเมฆ,,10120,10120,10120,
